accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
ON142071	ON142071.1	VolunteerID80_Arbobios_D0_Control	2019-06-04	South America	Brazil			Homo sapiens	2023-02-08		Lazari et al.	Lazari,C.D.S.,Ramundo,M.S.,Ten-Caten,F.,Bressan,C.S.,de Filippis,A.M.B.,Manuli,E.R.,de Moraes,I.,Pereira,G.M.,Cortes,M.F.,Candido,D.D.S.,Gerber,A.L.,Guimaraes,A.P.,Faria,N.R.,Nakaya,H.I.,Vasconcelos,A.T.R.,Brasil,P.,Paranhos-Baccala,G.,Sabino,E.C.,Ramundo,M.	Universidade de Sao Paulo, Molestias Infecciosas e Parasitarias
ON207126	ON207126.1	JMBC21.008	2021-11-20	Asia	Indonesia	Jambi		Homo sapiens	2022-07-19		Santoso et al.	Santoso,M.S.,Haryanto,S.,Rulian,F.,Hayati,R.F.,Kristiani,A.,Kartika,R.,Yohan,B.,Hibberd,M.L.,Sasmono,R.T.	Eijkman Institute for Molecular Biology, Dengue Unit
ON207128	ON207128.1	JMBSCHIK.002	2021-11-01	Asia	Indonesia	Jambi		Homo sapiens	2022-07-19		Santoso et al.	Santoso,M.S.,Haryanto,S.,Rulian,F.,Hayati,R.F.,Kristiani,A.,Kartika,R.,Yohan,B.,Hibberd,M.L.,Sasmono,R.T.	Eijkman Institute for Molecular Biology, Dengue Unit
ON406433	ON406433.1	TM026	2019-10-XX	Asia	Thailand			Homo sapiens	2023-02-11		Boonnak et al.	Boonnak,K.,Tun,Y.M.	Faculty of Medicine Siriraj Hospital, Mahidol University, Department of Immunology
ON887079	ON887079.1	DEHU_2022_M1_WGS	2022-05-28	Asia	India	Maharashtra		Aedes aegypti	2023-06-13		Nath et al.	Nath,A.,Kumar,S.,Gurav,Y.K.,Gangopadhayya,A.,Ghuge,O.,Sreelakshmi,P.R.,Jadhav,A.,Rajan,L.S.,Yadav,K.,Shinde,K.,Shil,P.,Sudeep,A.,Lole,K.S.,Ghuge,O.S.	ICMR-NIV, Hepatitis
ON887081	ON887081.1	DEHU_2022_5F_WGS	2022-05-28	Asia	India	Dehu	Pune, Maharashtra	Aedes aegypti	2023-06-13		Nath et al.	Nath,A.,Kumar,S.,Gurav,Y.K.,Gangopadhayya,A.,Ghuge,O.,Sreelakshmi,P.R.,Jadhav,A.,Rajan,L.S.,Yadav,K.,Shinde,K.,Shil,P.,Sudeep,A.,Lole,K.S.,Ghuge,O.S.	ICMR-NIV, Hepatitis
ON959484	ON959484.1	M124	2019-07-19	South America	Ecuador			Homo sapiens	2023-03-26		Marquez et al.	Marquez,S.,Lee,G.,Zuniga,J.,Andrade,P.,Trueba,G.,Eisenberg,J.,Coloma,J.	Instituto de Microbiologia, COCIBA
ON959485	ON959485.1	B10	2019-05-25	South America	Ecuador			Homo sapiens	2023-03-26		Marquez et al.	Marquez,S.,Lee,G.,Zuniga,J.,Andrade,P.,Trueba,G.,Eisenberg,J.,Coloma,J.	Instituto de Microbiologia, COCIBA
ON959487	ON959487.1	SD23	2019-07-24	South America	Ecuador			Homo sapiens	2023-03-26		Marquez et al.	Marquez,S.,Lee,G.,Zuniga,J.,Andrade,P.,Trueba,G.,Eisenberg,J.,Coloma,J.	Instituto de Microbiologia, COCIBA
ON959490	ON959490.1	T8	2019-07-19	South America	Ecuador			Homo sapiens	2023-03-26		Marquez et al.	Marquez,S.,Lee,G.,Zuniga,J.,Andrade,P.,Trueba,G.,Eisenberg,J.,Coloma,J.	Instituto de Microbiologia, COCIBA
