accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
KJ579185	KJ579185.1	BK57	2013-10-14	Asia	Thailand			Homo sapiens	2014-09-16		Wanlapakorn et al.	Wanlapakorn,N.,Thongmee,T.,Linsuwanon,P.,Chattakul,P.,Vongpunsawad,S.,Payungporn,S.,Poovorawan,Y.	Chulalongkorn University, Pediatrics
KJ679578	KJ679578.1	CHIKV_STMWG02	2011-12-21	Asia	India			Homo sapiens	2014-07-01		Dutta et al.	Dutta,S.K.,Tripathi,A.	Calcutta School of Tropical Medicine, Department of Biochemistry and Medical Biotechnology
KJ729853	KJ729853.1	CHK-Jatim.INA:2011*096	2011-10-15	Asia	Indonesia			Homo sapiens	2014-07-15		Sembiring et al.	Sembiring,M.M.,Subangkit,S.	National Institute Of Health Research and Development, Virology
KJ729856	KJ729856.1	CHK-Jatim.INA:2011*108	2011-10-15	Asia	Indonesia			Homo sapiens	2014-07-15		Sembiring et al.	Sembiring,M.M.,Subangkit,S.	National Institute Of Health Research and Development, Virology
KJ796852	KJ796852.1	Thailand-2009_CK539	2009-02-12	Asia	Thailand				2014-06-18		Tsetsarkin et al.	Tsetsarkin,K.A.,Perng,G.C.,Weaver,S.C.	University of Texas Medical Branch, Pathology
KJ866155	KJ866155.1	SLCH1	2006-02-10	Asia	Sri Lanka			Homo sapiens	2014-09-02		Herath et al.	Herath,I.,Fernadopulle,N.	Genetech Molecular Diagnostics, Infectious Diseases
KM258103	KM258103.1	AAC-20	2014-06-16	Asia	Thailand			Aedes aegypti	2014-11-10		Kittichai et al.	Kittichai,V.,Montriwat,P.,Basanayake,C.,Chen,J.-H.,Thavara,U.,Tawatsin,A.,Siriyasatien,P.	Chulalongkorn University, Parasitology
KM258113	KM258113.1	ACC-U	2014-06-16	Asia	Thailand			Culex quinquefasciatus	2014-11-10		Kittichai et al.	Kittichai,V.,Montriwat,P.,Basanayake,C.,Chen,J.-H.,Thavara,U.,Tawatsin,A.,Siriyasatien,P.	Chulalongkorn University, Parasitology
KM258116	KM258116.1	LCC-6b	2014-06-16	Asia	Thailand			Culex quinquefasciatus	2014-11-10		Kittichai et al.	Kittichai,V.,Montriwat,P.,Basanayake,C.,Chen,J.-H.,Thavara,U.,Tawatsin,A.,Siriyasatien,P.	Chulalongkorn University, Parasitology
KM985981	KM985981.1	TO14-080414-3007	2014-03-20	Oceania	Tonga			Homo sapiens	2015-04-19		Aubry et al.	Aubry,M.,Teissier,A.,Roche,C.,Richard,V.,Shan Yan,A.,Zisou,K.,Rouault,E.,Maria,V.,Lastere,S.,Cao-Lormeau,V.M.,Musso,D.	Institut Louis Malarde, PMIE
KM985982	KM985982.1	TO14-080414-3042	2014-03-25	Oceania	Tonga			Homo sapiens	2015-04-19		Aubry et al.	Aubry,M.,Teissier,A.,Roche,C.,Richard,V.,Shan Yan,A.,Zisou,K.,Rouault,E.,Maria,V.,Lastere,S.,Cao-Lormeau,V.M.,Musso,D.	Institut Louis Malarde, PMIE
KP001168	KP001168.1	ILS-OD204	2013-12-08	Asia	India	Odisha		Homo sapiens	2015-10-16		Saswat et al.	Saswat,T.,Kumar,A.,Kumar,S.,Mamidi,P.,Muduli,S.,Debata,N.K.,Pal,N.S.,Pratheek,B.M.,Chattopadhyay,S.	Institute of Life Sciences, Infectious Disease and Biology
KP164570	KP164570.1	BHI3745/H804709	2014-09-03	South America	Brazil	Feira de Santana-Ba		Homo sapiens	2015-03-28		Nunes et al.	Nunes,M.R.,Faria,N.R.,de Vasconcelos,J.M.,Golding,N.,Kraemer,M.U.,de Oliveira,L.F.,Azevedo Rdo,S.,da Silva,D.E.,da Silva,E.V.,da Silva,S.P.,Carvalho,V.L.,Coelho,G.E.,Cruz,A.C.,Rodrigues,S.G.,da Silva Goncalves Vianez,J.L. Jr.,Nunes,B.T.,Cardoso,J.F.,Tesh,R.B.,Hay,S.I.,Pybus,O.G.,da Costa Vasconcelos,P.F.,Nunes,M.R.T.,Farias,N.R.,Vasconcelos,J.M.,Kraemer,M.U.G.,Oliveira,L.F.,Azevedo,R.S.S.,Vieira,E.P.,Vianez Junior,J.L.S.G.,Ray,S.I.,Vasconcelos,P.F.C.	Evandro Chagas Institute, Center for Technological Innovation
KP239983	KP239983.1	MHD11	2013-04-07	Asia	India	Maharashtra		Homo sapiens	2015-10-16		Saswat et al.	Saswat,T.,Kumar,A.,Kumar,S.,Mamidi,P.,Muduli,S.,Debata,N.K.,Pal,N.S.,Pratheek,B.M.,Chattopadhyay,S.	Institute of Life Sciences, Infectious Disease and Biology
KP239985	KP239985.1	MHD3	2013-04-02	Asia	India	Maharashtra		Homo sapiens	2015-10-16		Saswat et al.	Saswat,T.,Kumar,A.,Kumar,S.,Mamidi,P.,Muduli,S.,Debata,N.K.,Pal,N.S.,Pratheek,B.M.,Chattopadhyay,S.	Institute of Life Sciences, Infectious Disease and Biology
KP324923	KP324923.1	BR/UFBA/LabViro/C1	2014-12-XX	South America	Brazil			Homo sapiens	2015-05-02		Campos et al.	Campos,G.S.,Sardi,S.I.,de Paula,F.L.,Tigre,D.M.	Universidade Federal da Bahia, Bio-interaction
KP336554	KP336554.1	IND-LKO-6-2010-Ae	2010-10-XX	Asia	India			Aedes aegypti	2015-05-24		Nyari et al.	Nyari,N.,Maan,H.S.,Kumar,M.,Pandey,A.,Dhole,T.N.	Sanjay Gandhi Post-graduate Institute Of Medical Sciences, Department of Microbiology
KP343865	KP343865.1	Caribe_colombia_E2_SJ-42	2014-09-13	South America	Colombia			Homo sapiens	2015-02-24		Cordoba et al.	Cordoba,U.	University of Cordoba, Cordoba
KP702204	KP702204.1	13DX-16-0317	2012-08-23	Asia	Vietnam	Southeast Region	Binh Duong	Homo sapiens	2016-01-31		Quyen et al.	Quyen,N.T.H.,Rabaa,M.,Tuan,N.M.,Kien,D.H.,Wills,B.,Simmons,C.P.	Oxford University Clinical Research Unit, Wellcome Trust Major Overseas Programme, Vietnam, Dengue department
KP843111	KP843111.1	TN-05-13	2013-03-24	Asia	India			Homo sapiens	2015-08-01		Sasikalaveni et al.	Sasikalaveni,A.,Raja,A.	Tamilnadu Veterinary and Animal Sciences University, Animal Biotechnology
KR559471	KR559471.1	WHCHK2	2014-10-XX	North America	El Salvador				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559472	KR559472.1	WHCHK3	2014-06-XX	North America	El Salvador				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559473	KR559473.1	WHCHK4	2015-02-XX	Oceania	French Polynesia				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559475	KR559475.1	WHCHK6	2014-09-XX	North America	El Salvador				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559476	KR559476.1	WHCHK7	2014-07-XX	North America	Haiti				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559479	KR559479.1	WHCHK10	2014-04-XX	North America	Dominican Republic				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559480	KR559480.1	WHCHK11	2014-09-XX	North America	Virgin Islands				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559481	KR559481.1	WHCHK12	2014-09-XX	North America	Guatemala				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559482	KR559482.1	WHCHK13	2014-08-XX	North America	Virgin Islands				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559487	KR559487.1	WHCHK18	2014-07-XX	North America	Honduras				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559488	KR559488.1	WHCHK19	2014-09-XX	North America	Honduras				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559489	KR559489.1	WHCHK20	2014-10-XX	North America	Jamaica				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559490	KR559490.1	WHCHK21	2014-08-XX	South America	Guyana				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559492	KR559492.1	WHCHK23	2014-08-XX	North America	Saint Lucia				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR559498	KR559498.1	WHCHK29	2014-03-XX	North America	Dominican Republic				2015-10-14		Lanciotti et al.	Lanciotti,R.S.	Centers for Disease Control and Prevention, CDC/DVBD/ADB
KR818093	KR818093.1	Ind-TN09-13	2013-03-24	Asia	India			Homo sapiens	2015-08-01		Sasikalaveni et al.	Sasikalaveni,A.,Raja,A.	Madras Veterinary College, Animal Biotechnology
KT192723	KT192723.1	1800	2014-12-03	North America	Nicaragua			Homo sapiens	2016-04-13		Wang et al.	Wang,C.,Saborio,S.,Gresh,L.,Eswarappa,M.,Wu,D.,Fire,A.,Parameswaran,P.,Balmaseda,A.,Harris,E.	University of California, Berkeley, Division of Infectious Diseases and Vaccinology, School of Public Health
KT192732	KT192732.1	1820	2015-01-08	North America	Nicaragua			Homo sapiens	2016-04-13		Wang et al.	Wang,C.,Saborio,S.,Gresh,L.,Eswarappa,M.,Wu,D.,Fire,A.,Parameswaran,P.,Balmaseda,A.,Harris,E.	University of California, Berkeley, Division of Infectious Diseases and Vaccinology, School of Public Health
KT192740	KT192740.1	7676	2015-04-22	North America	Nicaragua			Homo sapiens	2016-04-13		Wang et al.	Wang,C.,Saborio,S.,Gresh,L.,Eswarappa,M.,Wu,D.,Fire,A.,Parameswaran,P.,Balmaseda,A.,Harris,E.	University of California, Berkeley, Division of Infectious Diseases and Vaccinology, School of Public Health
KT324227	KT324227.1	MY/09/3926	2009-03-XX	Asia	Malaysia	Kl		Homo sapiens	2018-08-09		Sam et al.	Sam,I.C.,Chan,Y.F.,Loong,S.K.,Chiam,C.W.,Chua,C.L.,Wong,H.V.	University Malaya, Department of Medical Microbiology, Faculty of Medicine
KT336779	KT336779.1	RGCB1259/12	2012-08-03	Asia	India	Thiruvananthapuram	Kerala		2015-12-06		Abraham et al.	Abraham,R.,Manakkadan,A.,Mudaliar,P.,Joseph,I.,Sivakumar,K.C.,Nair,R.R.,Sreekumar,E.	Rajiv Gandhi Centre for Biotechnology, Molecular Virology Laboratory
KT336780	KT336780.1	RGCB1264/12	2012-08-03	Asia	India	Anchuthengu	Kerala		2015-12-06		Abraham et al.	Abraham,R.,Manakkadan,A.,Mudaliar,P.,Joseph,I.,Sivakumar,K.C.,Nair,R.R.,Sreekumar,E.	Rajiv Gandhi Centre for Biotechnology, Molecular Virology Laboratory
KT336782	KT336782.1	RGCB1431/13	2013-05-27	Asia	India	Kumily	Kerala		2015-12-06		Abraham et al.	Abraham,R.,Manakkadan,A.,Mudaliar,P.,Joseph,I.,Sivakumar,K.C.,Nair,R.R.,Sreekumar,E.	Rajiv Gandhi Centre for Biotechnology, Molecular Virology Laboratory
KT336791	KT336791.1	RGCB1352/12	2012-06-22	Asia	India	Vizhinjam	Kerala		2015-12-06		Abraham et al.	Abraham,R.,Manakkadan,A.,Mudaliar,P.,Joseph,I.,Sivakumar,K.C.,Nair,R.R.,Sreekumar,E.	Rajiv Gandhi Centre for Biotechnology, Molecular Virology Laboratory
KT336793	KT336793.1	RGCB1354/12	2012-12-19	Asia	India	Thiruananthapuram	Kerala		2015-12-06		Abraham et al.	Abraham,R.,Manakkadan,A.,Mudaliar,P.,Joseph,I.,Sivakumar,K.C.,Nair,R.R.,Sreekumar,E.	Rajiv Gandhi Centre for Biotechnology, Molecular Virology Laboratory
KT336796	KT336796.1	RGCB1358/13	2013-03-06	Asia	India	Kumily	Kerala		2015-12-06		Abraham et al.	Abraham,R.,Manakkadan,A.,Mudaliar,P.,Joseph,I.,Sivakumar,K.C.,Nair,R.R.,Sreekumar,E.	Rajiv Gandhi Centre for Biotechnology, Molecular Virology Laboratory
KU365367	KU365367.1	CH-0072	2014-11-07	North America	Mexico	Chiapas	Ciudad Hidalgo	Homo sapiens	2017-03-25	SRR3086329	Kautz et al.	Kautz,T.F.,Forrester,N.L.,Hari,K.,Lin,D.	University of Texas Medical Branch, Microbiology and Immunology
KU365368	KU365368.1	TA-0006	2014-03-26	North America	Mexico	Chiapas	Tapachula	Homo sapiens	2017-03-25	SRR3086330	Kautz et al.	Kautz,T.F.,Forrester,N.L.,Hari,K.,Lin,D.,Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology
KX255063	KX255063.1	256137	2014-05-14	North America	Dominican Republic			Homo sapiens	2016-05-31		Diaz et al.	Diaz,Y.,Carrera,J.P.,Cerezo,L.,Arauz,D.,Guerra,I.,Cisneros,J.,Armien,B.,Botello,A.M.,Arauz,A.B.,Gonzalez,V.,Lopez,Y.,Moreno,L.,Lopez-Verges,S.,Moreno,B.A.	Gorgas Memorial Institute of Health Studies, Research on Virology and Biotechnology
KX262995	KX262995.1	CHIKV/Aedes furcifer/SEN/37950/1983	1983-07-10	Africa	Senegal	Kedougou		Aedes furcifer	2016-10-12		Das et al.	Das,S.R.,Shabman,R.,Halpin,R.A.,Shilts,M.,Akopov,A.,Fedorova,N.,Puri,V.,Stockwell,T.,Amedeo,P.,Katzel,D.,Schobel,S.,Shrivastava,S.,Weaver,S.C.	J. Craig Venter Institute
KX355507	KX355507.1	256265	2014-06-04	North America	Dominican Republic			Homo sapiens	2017-01-30		Carrera et al.	Carrera,J.P.,Diaz,Y.,Denis,B.,Barahona de Mosca,I.,Rodriguez,D.,Cedeno,I.,Arauz,D.,Gonzalez,P.,Cerezo,L.,Moreno,L.,Garcia,L.,Saenz,L.E.,Atencio,M.A.,Rojas-Fermin,E.,Vizcaino,F.,Perez,N.,Moreno,B.,Lopez-Verges,S.,Valderrama,A.,Armien,B.	Gorgas Memorial Institute for Health Studies, Department of Research in Virology and Biotechnology
KX355508	KX355508.1	256431	2014-07-08	North America	Dominican Republic			Homo sapiens	2017-01-30		Carrera et al.	Carrera,J.P.,Diaz,Y.,Denis,B.,Barahona de Mosca,I.,Rodriguez,D.,Cedeno,I.,Arauz,D.,Gonzalez,P.,Cerezo,L.,Moreno,L.,Garcia,L.,Saenz,L.E.,Atencio,M.A.,Rojas-Fermin,E.,Vizcaino,F.,Perez,N.,Moreno,B.,Lopez-Verges,S.,Valderrama,A.,Armien,B.	Gorgas Memorial Institute for Health Studies, Department of Research in Virology and Biotechnology
KX355511	KX355511.1	256629	2014-08-18	North America	Panama			Homo sapiens	2017-01-30		Carrera et al.	Carrera,J.P.,Diaz,Y.,Denis,B.,Barahona de Mosca,I.,Rodriguez,D.,Cedeno,I.,Arauz,D.,Gonzalez,P.,Cerezo,L.,Moreno,L.,Garcia,L.,Saenz,L.E.,Atencio,M.A.,Rojas-Fermin,E.,Vizcaino,F.,Perez,N.,Moreno,B.,Lopez-Verges,S.,Valderrama,A.,Armien,B.	Gorgas Memorial Institute for Health Studies, Department of Research in Virology and Biotechnology
KX355515	KX355515.1	257245	2014-12-16	South America	Venezuela			Homo sapiens	2017-01-30		Carrera et al.	Carrera,J.P.,Diaz,Y.,Denis,B.,Barahona de Mosca,I.,Rodriguez,D.,Cedeno,I.,Arauz,D.,Gonzalez,P.,Cerezo,L.,Moreno,L.,Garcia,L.,Saenz,L.E.,Atencio,M.A.,Rojas-Fermin,E.,Vizcaino,F.,Perez,N.,Moreno,B.,Lopez-Verges,S.,Valderrama,A.,Armien,B.	Gorgas Memorial Institute for Health Studies, Department of Research in Virology and Biotechnology
KX358409	KX358409.1	JHCK08	2014-09-23	Asia	India			Homo sapiens	2016-12-05		Khan et al.	Khan,W.H.,Ray,P.,ray,P.	Jamia Hamdard, Biotechnology, Faculty of Science
KX358424	KX358424.1	JHCK54	2015-07-29	Asia	India			Homo sapiens	2016-12-05		Khan et al.	Khan,W.H.,Ray,P.,ray,P.	Jamia Hamdard, Biotechnology, Faculty of Science
KX394252	KX394252.1	KX394252	2014-11-11	South America	Brazil	Roraima		Homo sapiens	2016-10-08		Acosta et al.	Acosta,P.O.A.,Rodrigues,A.R.R.,Nascimento,I.A.S.,Granja,F.,Corado,A.,Souza,V.C.,Nascimento,V.A.,Naveca,F.G.	Federal University of Roraima, Laboratory of Molecular Biology, Center for Biodiversity Studies
KX394253	KX394253.1	KX394253	2015-01-26	South America	Brazil	Roraima		Homo sapiens	2016-10-08		Acosta et al.	Acosta,P.O.A.,Rodrigues,A.R.R.,Nascimento,I.A.S.,Granja,F.,Corado,A.,Souza,V.C.,Nascimento,V.A.,Naveca,F.G.	Federal University of Roraima, Laboratory of Molecular Biology, Center for Biodiversity Studies
KX619423	KX619423.1	HUBCK49	2014-07-23	Asia	India			Homo sapiens	2018-04-15		Khan et al.	Khan,W.H.,Ray,P.	Jamia Hamdard, Biotechnology, Faculty of Science
KX619424	KX619424.1	JHCK96	2015-09-22	Asia	India			Homo sapiens	2017-06-07		Khan et al.	Khan,W.H.,Ray,P.	Jamia Hamdard, Biotechnology, Faculty of Science
KY038946	KY038946.1	ArB6445	1975-06-XX	Africa	Central African Republic	Bozo		Aedes opok	2016-12-25		Tricou et al.	Tricou,V.,Desdouits,M.,Nakoune,E.,Gessain,A.,Kazanji,M.,Berthet,N.	Institut Pasteur de Bangui, Department of Virology
KY038947	KY038947.2	HB84P07	1983-12-XX	Africa	Central African Republic	Bangui		Homo sapiens	2016-12-25		Tricou et al.	Tricou,V.,Desdouits,M.,Nakoune,E.,Gessain,A.,Kazanji,M.,Berthet,N.	Institut Pasteur de Bangui, Department of Virology
KY039475	KY039475.1	AIIMS_CHIK_6905	2016-08-29	Asia	India			Homo sapiens	2017-04-05		Brijwal et al.	Brijwal,M.,Sahu,M.,Kumar,P.,Choudhary,A.,Namdeo,D.,Baruah,K.,Dar,L.	All India Institute of Medical Sciences, Microbiology
KY124329	KY124329.1	RJ-IB5	2016-03-16	South America	Brazil	Rio de Janeiro		Homo sapiens	2017-09-11		Cunha et al.	Cunha,M.S.,Cruz,N.V.G.,Schnellrath,L.C.,Medaglia,M.L.G.,Casotto,M.E.,Albano,R.M.,Costa,L.J.,Damaso,C.R.,Cunha,M.,Cruz,N.,Schnellrath,L.,Medaglia,M.L.,Casotto,M.,Albano,R.,Costa,L.,Damaso,C.	Instituto de Biofisica Carlos Chagas Filho - Universidade Federal do Rio de Janeiro
KY131437	KY131437.1	13DX-01-1270	2012-09-XX	Asia	Vietnam	Hcmc		Homo sapiens	2017-07-30		Quyen et al.	Quyen,N.T.H.,Kien,D.T.H.,Rabaa,M.,Tuan,N.M.,Vi,T.T.,Van Tan,L.,Hung,N.T.,Tuan,H.M.,Van Tram,T.,Le Da Ha,N.,Quang,H.K.,Doanh,N.Q.,Van Vinh Chau,N.,Wills,B.,Simmons,C.P.,Nguyen,Q.T.H.,Duong,K.T.H.,Tran,V.T.,Le Van,T.,Nguyen,T.M.,Nguyen,H.T.,Ha,T.M.,Ta,T.V.,Nguyen,H.L.D.,Han,Q.K.,Nguyen,D.Q.,Nguyen,C.V.V.	Oxford University Clinical Research Unit, Vietnam, Dengue
KY131438	KY131438.1	13DX-16-0317	2012-08-XX	Asia	Vietnam	Southeast Region	Binh Duong	Homo sapiens	2017-07-30		Quyen et al.	Quyen,N.T.H.,Kien,D.T.H.,Rabaa,M.,Tuan,N.M.,Vi,T.T.,Van Tan,L.,Hung,N.T.,Tuan,H.M.,Van Tram,T.,Le Da Ha,N.,Quang,H.K.,Doanh,N.Q.,Van Vinh Chau,N.,Wills,B.,Simmons,C.P.,Nguyen,Q.T.H.,Duong,K.T.H.,Tran,V.T.,Le Van,T.,Nguyen,T.M.,Nguyen,H.T.,Ha,T.M.,Ta,T.V.,Nguyen,H.L.D.,Han,Q.K.,Nguyen,D.Q.,Nguyen,C.V.V.	Oxford University Clinical Research Unit, Vietnam, Dengue
KY131439	KY131439.1	13DX-16-0395	2012-10-XX	Asia	Vietnam	Southeast Region	Binh Duong	Homo sapiens	2017-07-30		Quyen et al.	Quyen,N.T.H.,Kien,D.T.H.,Rabaa,M.,Tuan,N.M.,Vi,T.T.,Van Tan,L.,Hung,N.T.,Tuan,H.M.,Van Tram,T.,Le Da Ha,N.,Quang,H.K.,Doanh,N.Q.,Van Vinh Chau,N.,Wills,B.,Simmons,C.P.,Nguyen,Q.T.H.,Duong,K.T.H.,Tran,V.T.,Le Van,T.,Nguyen,T.M.,Nguyen,H.T.,Ha,T.M.,Ta,T.V.,Nguyen,H.L.D.,Han,Q.K.,Nguyen,D.Q.,Nguyen,C.V.V.	Oxford University Clinical Research Unit, Vietnam, Dengue
KY415985	KY415985.1	Haiti-10/2014	2014-08-13	North America	Haiti			Homo sapiens	2017-01-28		White et al.	White,S.K.,Morris,J.G. Jr.,Elbadry,M.A.,Beau De Rochars,M.V.,Lednicky,J.A.	University of Florida - Gainesville, Environmental and Global Health
KY435454	KY435454.1	14.06638	2011-11-XX	South America	Trinidad and Tobago			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435456	KY435456.1	14.06350	2014-08-17	South America	Suriname			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435460	KY435460.1	14.05081	2014-07-06	Europe	United Kingdom	Cayman Islands		Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435463	KY435463.1	14.04444	2014-08-02	South America	Suriname			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435467	KY435467.1	14.03844	2014-07-24	Europe	United Kingdom	Montserrat		Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435474	KY435474.1	14.02526	2014-05-19	North America	Saint Lucia			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435477	KY435477.1	14.02217	2014-05-31	South America	Guyana			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435478	KY435478.1	14.02086	2014-05-17	South America	Guyana			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435480	KY435480.1	14.01507	2014-04-27	North America	Haiti			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435482	KY435482.1	14.01152	2014-03-11	North America	Saint Kitts and Nevis			Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY435483	KY435483.1	14.00686	2014-02-12	Europe	United Kingdom	Anguilla		Homo sapiens	2017-05-23		Sahadeo et al.	Sahadeo,N.S.D.,Allicock,O.M.,De Salazar,P.M.,Auguste,A.J.,Widen,S.,Olowokure,B.,Gutierrez,C.,Valadere,A.M.,Polson-Edwards,K.,Weaver,S.C.,Carrington,C.V.F.	University of the West Indies, Department of Pre-Clinical Sciences, Faculty of Medical Sciences
KY646000	KY646000.1	CHKV/CO/SAN/MFC16032015/2015	2015-03-XX	South America	Colombia	Santander	Giron	Homo sapiens	2018-02-01		Ocazionez et al.	Ocazionez,R.E.,Maria Fernanda,C.	Universidad Industrial de Santander, Biomedical sciences
KY680354	KY680354.1	CHIKV/Homo sapiens/USA/CKVHL_32/2014	2014-05-08	North America	USA	Hillsborough County		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Heberlein-Larson,L.	J. Craig Venter Institute
KY680366	KY680366.1	CHIKV/Homo sapiens/USA/CKVHL_10/2015	2015-07-24	North America	USA	Palm Beach County		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Heberlein-Larson,L.	J. Craig Venter Institute
